Département;Nbre bureaux;Inscrits;Votants;Enveloppes;Nuls;Exprimés;Macky SALL;Idrissa SECK;Ousmane ;Madické NIANG;El hadji SALL
;;;;;;;;;SONKO;;
Dakar;1 190;663 021;456 107;456 107;2 829;453 278;212 355;115 612;101 003;5 646;18 662
Guediawaye;350;195 332;134 316;134 316;724;133 592;65 174;35 646;24 243;1 977;6 552
Pikine;1 026;573 844;380 188;380 188;2 448;377 740;183 630;90 388;74 255;6 601;22 866
Rufisque;501;255 630;185 295;185 295;1 148;184 147;100 632;34 892;30 186;2 273;16 164
Bambey;276;113 441;72 244;72 244;912;71 332;38 625;25 364;4 679;1 539;1 125
Diourbel;269;110 748;72 265;72 265;872;71 393;40 501;22 026;6 300;1 682;884
Mbacke;810;364 826;225 127;225 127;2 575;222 552;67 745;129 724;12 686;9 963;2 434
Fatick;374;160 733;101 280;101 280;1 109;100 171;80 888;5 172;9 349;673;4 089
Foundiougne;301;118 747;78 056;78 056;795;77 261;62 373;5 103;7 905;771;1 109
Gossas;123;42 810;27 887;27 887;307;27 580;20 292;4 299;2 036;435;518
Birkilane;122;46 459;31 620;31 620;429;31 191;22 854;3 309;3 392;583;1 053
Kaffrine;208;80 823;55 509;55 509;691;54 818;38 874;6 513;5 294;731;3 406
Koungheul;191;68 248;43 735;43 735;812;42 923;33 728;5 020;2 848;442;885
Malem Hodar;110;36 551;24 884;24 884;348;24 536;18 926;2 582;1 285;345;1 398
Guinguineo;148;50 145;33 998;33 998;325;33 673;21 723;5 786;2 964;555;2 645
Kaolack;509;237 245;148 171;148 171;1 377;146 794;99 376;18 649;22 677;1 758;4 334
Nioro du Rip;358;138 529;93 551;93 551;1 313;92 238;72 463;7 180;9 825;1 264;1 506
Kedougou;109;37 202;23 013;23 013;396;22 617;16 153;2 494;3 269;377;324
Salemata;33;10 277;6 659;6 659;99;6 560;4 525;1 062;589;309;75
Saraya;66;17 688;11 350;11 350;262;11 088;7 122;1 383;2 082;226;275
Kolda;247;89 246;59 793;59 793;951;58 842;36 927;6 245;13 839;1 042;789
Medina Yoro Foulah;113;40 366;28 539;28 539;819;27 720;19 992;2 888;4 133;396;311
Velingara;292;99 787;69 590;69 590;1 183;68 407;47 551;8 106;10 423;966;1 361
Kebemer;334;120 375;81 212;81 212;732;80 480;42 166;26 739;5 125;2 076;4 374
Linguere;336;118 302;80 179;80 179;903;79 276;64 291;5 857;5 666;1 859;1 603
Louga;472;175 467;121 932;121 932;1 057;120 875;73 514;19 788;9 612;2 344;15 617
Kanel;236;108 113;71 253;71 253;1 147;70 106;65 679;1 364;2 562;192;309
Matam;301;141 286;100 273;100 273;1 016;99 257;92 454;2 239;3 698;284;582
Ranerou;64;24 315;16 485;16 485;389;16 096;14 827;528;482;137;122
Dagana;316;134 210;93 052;93 052;744;92 308;62 091;11 033;11 847;957;6 380
Podor;480;207 955;138 198;138 198;1 533;136 665;127 639;2 806;4 802;510;908
Saint-Louis;318;162 702;110 148;110 148;693;109 455;62 788;17 404;18 632;3 160;7 471
Bounkiling;172;58 448;38 485;38 485;602;37 883;23 385;1 105;12 605;255;533
Goudomp;184;68 584;46 882;46 882;688;46 194;23 343;4 434;17 012;770;635
Sedhiou;195;66 023;43 576;43 576;434;43 142;23 414;3 808;14 833;680;407
Bakel;173;60 479;35 091;35 091;682;34 409;25 723;2 908;4 888;471;419
Goudiry;177;44 739;28 756;28 756;626;28 130;21 641;1 964;3 514;303;708
Koumpentoum;162;40 839;30 095;30 095;513;29 582;20 220;4 613;3 652;580;517
Tambacounda;349;105 306;66 007;66 007;994;65 013;46 096;5 401;11 258;1 074;1 184
Mbour;668;312 814;213 134;213 134;1 904;211 230;132 202;35 437;29 896;2 042;11 653
Thies;774;363 482;256 414;256 414;1 787;254 627;100 422;120 054;19 737;2 312;12 102
Tivaouane;540;224 919;162 901;162 901;1 190;161 711;79 757;55 966;9 836;2 054;14 098
Bignona;334;128 489;82 342;82 342;548;81 794;27 398;2 169;51 438;377;412
Oussouye;76;29 752;18 802;18 802;148;18 654;8 707;406;9 209;101;231
Ziguinchor;264;125 154;78 221;78 221;599;77 622;32 846;2 419;41 291;510;556
