Department	Number of offices	 Registered	 Voters	Enveloppes	Nuls	Votes	Macky SALL	Idrissa SECK	Ousmane Sonko	Madické NIANG	El hadji SALL	Unnamed: 12	Unnamed: 13	Timestamp
Dakar	1190	663021	456107	456107	2829	453278	212355	115612	101003	5646	18662			2022-01-01 00:00:05
Dakar	1190	663021	456107	456107	2829	453278	212355	115612	101003	5646	18662			2022-01-01 00:00:10
Dakar	1190	663021	456107	456107	2829	453278	212355	115612	101003	5646	18662			2022-01-01 00:00:15
Guediawaye	350	195332	134316	134316	724	133592	65174	35646	24243	1977	6552			2022-01-01 00:00:20
Guediawaye	350	195332	134316	134316	724	133592	65174	35646	24243	1977	6552			2022-01-01 00:00:25
Guediawaye	350	195332	134316	134316	724	133592	65174	35646	24243	1977	6552			2022-01-01 00:00:30
Pikine	1026	573844	380188	380188	2448	377740	183630	90388	74255	6601	22866			2022-01-01 00:00:35
Pikine	1026	573844	380188	380188	2448	377740	183630	90388	74255	6601	22866			2022-01-01 00:00:40
Pikine	1026	573844	380188	380188	2448	377740	183630	90388	74255	6601	22866			2022-01-01 00:00:45
Rufisque	501	255630	185295	185295	1148	184147	100632	34892	30186	2273	16164			2022-01-01 00:00:50
Rufisque	501	255630	185295	185295	1148	184147	100632	34892	30186	2273	16164			2022-01-01 00:00:55
Rufisque	501	255630	185295	185295	1148	184147	100632	34892	30186	2273	16164			2022-01-01 00:01:00
Bambey	276	113441	72244	72244	912	71332	38625	25364	4679	1539	1125			2022-01-01 00:01:05
Bambey	276	113441	72244	72244	912	71332	38625	25364	4679	1539	1125			2022-01-01 00:01:10
Bambey	276	113441	72244	72244	912	71332	38625	25364	4679	1539	1125			2022-01-01 00:01:15
Diourbel	269	110748	72265	72265	872	71393	40501	22026	6300	1682	884			2022-01-01 00:01:20
Diourbel	269	110748	72265	72265	872	71393	40501	22026	6300	1682	884			2022-01-01 00:01:25
Diourbel	269	110748	72265	72265	872	71393	40501	22026	6300	1682	884			2022-01-01 00:01:30
Mbacke	810	364826	225127	225127	2575	222552	67745	129724	12686	9963	2434		`	2022-01-01 00:01:35
Mbacke	810	364826	225127	225127	2575	222552	67745	129724	12686	9963	2434		`	2022-01-01 00:01:40
Mbacke	810	364826	225127	225127	2575	222552	67745	129724	12686	9963	2434		`	2022-01-01 00:01:45
Fatick	374	160733	101280	101280	1109	100171	80888	5172	9349	673	4089			2022-01-01 00:01:50
Fatick	374	160733	101280	101280	1109	100171	80888	5172	9349	673	4089			2022-01-01 00:01:55
Fatick	374	160733	101280	101280	1109	100171	80888	5172	9349	673	4089			2022-01-01 00:02:00
Foundiougne	301	118747	78056	78056	795	77261	62373	5103	7905	771	1109			2022-01-01 00:02:05
Foundiougne	301	118747	78056	78056	795	77261	62373	5103	7905	771	1109			2022-01-01 00:02:10
Foundiougne	301	118747	78056	78056	795	77261	62373	5103	7905	771	1109			2022-01-01 00:02:15
Gossas	123	42810	27887	27887	307	27580	20292	4299	2036	435	518			2022-01-01 00:02:20
Gossas	123	42810	27887	27887	307	27580	20292	4299	2036	435	518			2022-01-01 00:02:25
Gossas	123	42810	27887	27887	307	27580	20292	4299	2036	435	518			2022-01-01 00:02:30
Birkilane	122	46459	31620	31620	429	31191	22854	3309	3392	583	1053			2022-01-01 00:02:35
Birkilane	122	46459	31620	31620	429	31191	22854	3309	3392	583	1053			2022-01-01 00:02:40
Birkilane	122	46459	31620	31620	429	31191	22854	3309	3392	583	1053			2022-01-01 00:02:45
Kaffrine	208	80823	55509	55509	691	54818	38874	6513	5294	731	3406			2022-01-01 00:02:50
Kaffrine	208	80823	55509	55509	691	54818	38874	6513	5294	731	3406			2022-01-01 00:02:55
Kaffrine	208	80823	55509	55509	691	54818	38874	6513	5294	731	3406			2022-01-01 00:03:00
Koungheul	191	68248	43735	43735	812	42923	33728	5020	2848	442	885			2022-01-01 00:03:05
Koungheul	191	68248	43735	43735	812	42923	33728	5020	2848	442	885			2022-01-01 00:03:10
Koungheul	191	68248	43735	43735	812	42923	33728	5020	2848	442	885			2022-01-01 00:03:15
Malem Hodar	110	36551	24884	24884	348	24536	18926	2582	1285	345	1398			2022-01-01 00:03:20
Malem Hodar	110	36551	24884	24884	348	24536	18926	2582	1285	345	1398			2022-01-01 00:03:25
Malem Hodar	110	36551	24884	24884	348	24536	18926	2582	1285	345	1398			2022-01-01 00:03:30
Guinguineo	148	50145	33998	33998	325	33673	21723	5786	2964	555	2645			2022-01-01 00:03:35
Guinguineo	148	50145	33998	33998	325	33673	21723	5786	2964	555	2645			2022-01-01 00:03:40
Guinguineo	148	50145	33998	33998	325	33673	21723	5786	2964	555	2645			2022-01-01 00:03:45
Kaolack	509	237245	148171	148171	1377	146794	99376	18649	22677	1758	4334			2022-01-01 00:03:50
Kaolack	509	237245	148171	148171	1377	146794	99376	18649	22677	1758	4334			2022-01-01 00:03:55
Kaolack	509	237245	148171	148171	1377	146794	99376	18649	22677	1758	4334			2022-01-01 00:04:00
Nioro du Rip	358	138529	93551	93551	1313	92238	72463	7180	9825	1264	1506			2022-01-01 00:04:05
Nioro du Rip	358	138529	93551	93551	1313	92238	72463	7180	9825	1264	1506			2022-01-01 00:04:10
Nioro du Rip	358	138529	93551	93551	1313	92238	72463	7180	9825	1264	1506			2022-01-01 00:04:15
Kedougou	109	37202	23013	23013	396	22617	16153	2494	3269	377	324			2022-01-01 00:04:20
Kedougou	109	37202	23013	23013	396	22617	16153	2494	3269	377	324			2022-01-01 00:04:25
Kedougou	109	37202	23013	23013	396	22617	16153	2494	3269	377	324			2022-01-01 00:04:30
Salemata	33	10277	6659	6659	99	6560	4525	1062	589	309	75			2022-01-01 00:04:35
Salemata	33	10277	6659	6659	99	6560	4525	1062	589	309	75			2022-01-01 00:04:40
Salemata	33	10277	6659	6659	99	6560	4525	1062	589	309	75			2022-01-01 00:04:45
Saraya	66	17688	11350	11350	262	11088	7122	1383	2082	226	275			2022-01-01 00:04:50
Saraya	66	17688	11350	11350	262	11088	7122	1383	2082	226	275			2022-01-01 00:04:55
Saraya	66	17688	11350	11350	262	11088	7122	1383	2082	226	275			2022-01-01 00:05:00
Kolda	247	89246	59793	59793	951	58842	36927	6245	13839	1042	789			2022-01-01 00:05:05
Kolda	247	89246	59793	59793	951	58842	36927	6245	13839	1042	789			2022-01-01 00:05:10
Kolda	247	89246	59793	59793	951	58842	36927	6245	13839	1042	789			2022-01-01 00:05:15
Medina Yoro Foulah	113	40366	28539	28539	819	27720	19992	2888	4133	396	311			2022-01-01 00:05:20
Medina Yoro Foulah	113	40366	28539	28539	819	27720	19992	2888	4133	396	311			2022-01-01 00:05:25
Medina Yoro Foulah	113	40366	28539	28539	819	27720	19992	2888	4133	396	311			2022-01-01 00:05:30
Velingara	292	99787	69590	69590	1183	68407	47551	8106	10423	966	1361			2022-01-01 00:05:35
Velingara	292	99787	69590	69590	1183	68407	47551	8106	10423	966	1361			2022-01-01 00:05:40
Velingara	292	99787	69590	69590	1183	68407	47551	8106	10423	966	1361			2022-01-01 00:05:45
Kebemer	334	120375	81212	81212	732	80480	42166	26739	5125	2076	4374			2022-01-01 00:05:50
Kebemer	334	120375	81212	81212	732	80480	42166	26739	5125	2076	4374			2022-01-01 00:05:55
Kebemer	334	120375	81212	81212	732	80480	42166	26739	5125	2076	4374			2022-01-01 00:06:00
Linguere	336	118302	80179	80179	903	79276	64291	5857	5666	1859	1603			2022-01-01 00:06:05
Linguere	336	118302	80179	80179	903	79276	64291	5857	5666	1859	1603			2022-01-01 00:06:10
Linguere	336	118302	80179	80179	903	79276	64291	5857	5666	1859	1603			2022-01-01 00:06:15
Louga	472	175467	121932	121932	1057	120875	73514	19788	9612	2344	15617			2022-01-01 00:06:20
Louga	472	175467	121932	121932	1057	120875	73514	19788	9612	2344	15617			2022-01-01 00:06:25
Louga	472	175467	121932	121932	1057	120875	73514	19788	9612	2344	15617			2022-01-01 00:06:30
Kanel	236	108113	71253	71253	1147	70106	65679	1364	2562	192	309			2022-01-01 00:06:35
Kanel	236	108113	71253	71253	1147	70106	65679	1364	2562	192	309			2022-01-01 00:06:40
Kanel	236	108113	71253	71253	1147	70106	65679	1364	2562	192	309			2022-01-01 00:06:45
Matam	301	141286	100273	100273	1016	99257	92454	2239	3698	284	582			2022-01-01 00:06:50
Matam	301	141286	100273	100273	1016	99257	92454	2239	3698	284	582			2022-01-01 00:06:55
Matam	301	141286	100273	100273	1016	99257	92454	2239	3698	284	582			2022-01-01 00:07:00
Ranerou	64	24315	16485	16485	389	16096	14827	528	482	137	122			2022-01-01 00:07:05
Ranerou	64	24315	16485	16485	389	16096	14827	528	482	137	122			2022-01-01 00:07:10
Ranerou	64	24315	16485	16485	389	16096	14827	528	482	137	122			2022-01-01 00:07:15
Dagana	316	134210	93052	93052	744	92308	62091	11033	11847	957	6380			2022-01-01 00:07:20
Dagana	316	134210	93052	93052	744	92308	62091	11033	11847	957	6380			2022-01-01 00:07:25
Dagana	316	134210	93052	93052	744	92308	62091	11033	11847	957	6380			2022-01-01 00:07:30
Podor	480	207955	138198	138198	1533	136665	127639	2806	4802	510	908			2022-01-01 00:07:35
Podor	480	207955	138198	138198	1533	136665	127639	2806	4802	510	908			2022-01-01 00:07:40
Podor	480	207955	138198	138198	1533	136665	127639	2806	4802	510	908			2022-01-01 00:07:45
Saint-Louis	318	162702	110148	110148	693	109455	62788	17404	18632	3160	7471			2022-01-01 00:07:50
Saint-Louis	318	162702	110148	110148	693	109455	62788	17404	18632	3160	7471			2022-01-01 00:07:55
Saint-Louis	318	162702	110148	110148	693	109455	62788	17404	18632	3160	7471			2022-01-01 00:08:00
Bounkiling	172	58448	38485	38485	602	37883	23385	1105	12605	255	533			2022-01-01 00:08:05
Bounkiling	172	58448	38485	38485	602	37883	23385	1105	12605	255	533			2022-01-01 00:08:10
Bounkiling	172	58448	38485	38485	602	37883	23385	1105	12605	255	533			2022-01-01 00:08:15
Goudomp	184	68584	46882	46882	688	46194	23343	4434	17012	770	635			2022-01-01 00:08:20
Goudomp	184	68584	46882	46882	688	46194	23343	4434	17012	770	635			2022-01-01 00:08:25
Goudomp	184	68584	46882	46882	688	46194	23343	4434	17012	770	635			2022-01-01 00:08:30
Sedhiou	195	66023	43576	43576	434	43142	23414	3808	14833	680	407			2022-01-01 00:08:35
Sedhiou	195	66023	43576	43576	434	43142	23414	3808	14833	680	407			2022-01-01 00:08:40
Sedhiou	195	66023	43576	43576	434	43142	23414	3808	14833	680	407			2022-01-01 00:08:45
Bakel	173	60479	35091	35091	682	34409	25723	2908	4888	471	419			2022-01-01 00:08:50
Bakel	173	60479	35091	35091	682	34409	25723	2908	4888	471	419			2022-01-01 00:08:55
Bakel	173	60479	35091	35091	682	34409	25723	2908	4888	471	419			2022-01-01 00:09:00
Goudiry	177	44739	28756	28756	626	28130	21641	1964	3514	303	708			2022-01-01 00:09:05
Goudiry	177	44739	28756	28756	626	28130	21641	1964	3514	303	708			2022-01-01 00:09:10
Goudiry	177	44739	28756	28756	626	28130	21641	1964	3514	303	708			2022-01-01 00:09:15
Koumpentoum	162	40839	30095	30095	513	29582	20220	4613	3652	580	517			2022-01-01 00:09:20
Koumpentoum	162	40839	30095	30095	513	29582	20220	4613	3652	580	517			2022-01-01 00:09:25
Koumpentoum	162	40839	30095	30095	513	29582	20220	4613	3652	580	517			2022-01-01 00:09:30
Tambacounda	349	105306	66007	66007	994	65013	46096	5401	11258	1074	1184			2022-01-01 00:09:35
Tambacounda	349	105306	66007	66007	994	65013	46096	5401	11258	1074	1184			2022-01-01 00:09:40
Tambacounda	349	105306	66007	66007	994	65013	46096	5401	11258	1074	1184			2022-01-01 00:09:45
Mbour	668	312814	213134	213134	1904	211230	132202	35437	29896	2042	11653			2022-01-01 00:09:50
Mbour	668	312814	213134	213134	1904	211230	132202	35437	29896	2042	11653			2022-01-01 00:09:55
Mbour	668	312814	213134	213134	1904	211230	132202	35437	29896	2042	11653			2022-01-01 00:10:00
Thies	774	363482	256414	256414	1787	254627	100422	120054	19737	2312	12102			2022-01-01 00:10:05
Thies	774	363482	256414	256414	1787	254627	100422	120054	19737	2312	12102			2022-01-01 00:10:10
Thies	774	363482	256414	256414	1787	254627	100422	120054	19737	2312	12102			2022-01-01 00:10:15
Tivaouane	540	224919	162901	162901	1190	161711	79757	55966	9836	2054	14098			2022-01-01 00:10:20
Tivaouane	540	224919	162901	162901	1190	161711	79757	55966	9836	2054	14098			2022-01-01 00:10:25
Tivaouane	540	224919	162901	162901	1190	161711	79757	55966	9836	2054	14098			2022-01-01 00:10:30
Bignona	334	128489	82342	82342	548	81794	27398	2169	51438	377	412			2022-01-01 00:10:35
Bignona	334	128489	82342	82342	548	81794	27398	2169	51438	377	412			2022-01-01 00:10:40
Bignona	334	128489	82342	82342	548	81794	27398	2169	51438	377	412			2022-01-01 00:10:45
Oussouye	76	29752	18802	18802	148	18654	8707	406	9209	101	231			2022-01-01 00:10:50
Oussouye	76	29752	18802	18802	148	18654	8707	406	9209	101	231			2022-01-01 00:10:55
Oussouye	76	29752	18802	18802	148	18654	8707	406	9209	101	231			2022-01-01 00:11:00
Ziguinchor	264	125154	78221	78221	599	77622	32846	2419	41291	510	556			2022-01-01 00:11:05
Ziguinchor	264	125154	78221	78221	599	77622	32846	2419	41291	510	556			2022-01-01 00:11:10
Ziguinchor	264	125154	78221	78221	599	77622	32846	2419	41291	510	556			2022-01-01 00:11:15
